1.23,15.70
1.24,15.77
1.25,15.84
1.26,15.92
1.27,15.99
1.28,16.07
1.29,16.15
1.30,16.23
1.32,16.32
1.33,16.41
1.34,16.50
1.35,16.58
1.36,16.67
1.37,16.76
1.39,16.84
1.40,16.93
1.41,17.02
1.42,17.10
1.44,17.19
1.45,17.28
1.46,17.37
1.47,17.45
1.49,17.54
1.50,17.64
1.52,17.74
1.53,17.84
1.55,17.94
1.56,18.04
1.57,18.14
1.59,18.24
1.60,18.34
1.62,18.46
1.64,18.57
1.65,18.68
1.67,18.79
1.68,18.90
1.70,19.01
1.72,19.12
1.73,19.24
1.75,19.36
1.77,19.49
1.79,19.61
1.81,19.74
1.82,19.86
1.84,19.98
1.86,20.11
1.88,20.23
1.90,20.35
1.92,20.48
1.94,20.60
1.96,20.73
1.98,20.88
2.01,21.03
2.03,21.18
2.05,21.33
2.07,21.48
2.10,21.63
2.12,21.77
2.14,21.92
2.17,22.07
2.19,22.22
2.22,22.37
2.24,22.52
2.27,22.67
2.30,22.82
2.33,22.97
2.35,23.12
2.38,23.32
2.41,23.51
2.44,23.71
2.47,23.91
2.50,24.08
2.54,24.25
2.57,24.43
2.60,24.60
2.64,24.80
2.67,25.00
2.71,25.20
2.75,25.40
2.79,25.62
2.83,25.84
2.87,26.07
2.91,26.29
2.95,26.51
3.00,26.73
3.04,26.96
3.09,27.18
3.14,27.43
3.19,27.68
3.23,27.93
3.28,28.18
3.34,28.44
3.39,28.72
3.4451,28.9877
3.50,29.26
3.56,29.55
3.61709,29.8481
3.68,30.14
3.7361,30.4407
3.80,30.74
