1.2411,0.00205
1.2372,0.0022
1.2333,0.00235
1.2294,0.0025
1.2255,0.00265
1.2216,0.0028
1.2177,0.00295
1.2138,0.0031
1.2099,0.00325
1.206,0.0034
1.1985,0.00405
1.191,0.0047
1.179,0.0065
1.167,0.0083
1.1485,0.0175
1.13,0.0267
1.1185,0.04945
1.107,0.0722
1.105,0.0951
1.103,0.118
1.104,0.144
1.108,0.169
1.116,0.195
1.131,0.223
1.149,0.246
1.171,0.267
1.199,0.287
1.23,0.3
1.266,0.305
1.297,0.306
1.328,0.299
1.356,0.284
1.375,0.272
1.393,0.258
1.409,0.243
1.422,0.23
1.436,0.215
1.449,0.2
1.46,0.183
1.46767,0.162333
1.473,0.141
1.473,0.122
1.47,0.103
1.465,0.0883
1.46,0.0736
1.4535,0.0632
1.447,0.0528
1.439,0.0439
1.4325,0.03765
1.426,0.0314
1.4195,0.02675
1.413,0.0221
1.4075,0.0189
1.402,0.0157
1.397,0.0134
1.392,0.0111
1.3875,0.0097
1.383,0.0083
1.379,0.00725
1.375,0.0062
1.3714,0.00556
1.3678,0.00492
1.3646,0.00442
1.3618,0.00406
1.359,0.0037
1.3562,0.00358
1.3534,0.00346
1.3508,0.00342
1.3484,0.00346
1.346,0.0035
1.344,0.00366
1.342,0.00382
1.34,0.00406
1.338,0.00438
1.336,0.0047
1.3344,0.00506
1.3328,0.00542
1.3312,0.00582
1.3296,0.00626
1.328,0.0067
1.3264,0.00726
1.3248,0.00782
1.3234,0.00846
1.3222,0.00918
1.321,0.0099
1.3194,0.01078
1.3184,0.01172
1.3176,0.01268
1.3168,0.01366
1.316,0.0147
1.316,0.01558
1.316,0.01628
1.316,0.0168
1.316,0.01708
1.316,0.017
1.316,0.01652
1.3154,0.01586
1.3146,0.01506
1.3138,0.01416
1.313,0.0132
